Link,Price,Date,Text,Location,Area,Rooms,Located Floor,Number of Floors,Repair,Document
https://emlak.az/1175852-satilir-4-otaqli-138-m2-yeni-tikili-sah-ismayil-xetai-m.html,['285 000'],12.12.2024,"['TƏCİLİ xətai metrosunun yaxınlığında təcili mənzil satılırUnvan : Xetai metrosunun yaxıninda. Mehdi Mehdizade kuc,Sahe: 136 kv.mOtaq: 4 otaq studioQaz, su ,işıq daimidir15/2 ci mərtəbəsiTemir: Temirsiz podmayakSened: ilin evveli çıxarış verilecekQiymet :285 000 aznQeyd : Bina möhtəşəm bir ərazidə yerləşir , səssiz sürətli liftləri, infrastruktur çox genişdir. Əlavə məlumat ucun qeyd olunan nomreyle elaqe saxlaya bilersiz.']",['Ünvan: M.Mehdizadə küçəsi'],138 m2,4,2,16,Təmirsiz,Müqavilə
https://emlak.az/1180061-satilir-4-otaqli-160-m2-yeni-tikili-8-mkr.html,['450 000'],10.12.2024,"['İPOTEKAYA YARARLIDIR!!8 mkr ən gözəl və ən sağlam kompleksində QANUNİ 4 otaqlı, super təmirli, əşyalı, yelçəkən mənzilimiz satışdadır.Binanın geniş həyəti, oyun meydançası, yer altı 2 mərtəbə qarajı  var. Binanın tam yanında hər növ iaşə, infrastruktur obyektləri , olduqca rahat transport xətləri var.Bütün komunallar daimi işləkdir.Baxış üçün əlaqə saxlayın.ŞİRKƏT XİDMƏT HAQQI 1%']",['Ünvan: Əcəmi Naxçıvani'],160 m2,4,7,17,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1166914-satilir-3-otaqli-95-m2-yeni-tikili-neriman-nerimanov-m.html,['255 000'],10.12.2024,"['Mənzil super təmirlidir,ideal görünüşdədir,olduğca işığlıdır və çox genişdir.Əşyalarla birgə satılır.Ətrafda ehtiyyac olacaq bütün iaşə obyektləri mövcuddur. Əlavə məlumat üçün əlaqə saxlayın. Real alıcıya endirim olunacaq. Xidmət haqqı 1%.']",['Ünvan: Əliyar Əliyev'],95 m2,3,2,19,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1145381-satilir-4-otaqli-145-m2-yeni-tikili-memar-ecemi-m.html,['315 000'],10.12.2024,"['TƏCİLİ SATILIR !!!Nəsimi rayonunda Memar Əcəmi və 20 Yanvar metrolarına piyada 7 dəqiqəlik məsafədə yerləşən 4 otağa düzəldilmiş əla əmirli mənzil satılır. Mənzil ƏŞYALI ( mebellərin hamısı baha qiymətə alınmışdır) satılır. Evdən heçnə götürülməyəcək. Remont üksək səviyydə, çox keyfiyyətli materiallarla olunmuşdur. Ətrafda ehtiyyac olacaq bütün iaşə obyektləri mövcuddur. Real alıcıya endirim olunacaq. Xidmət haqqı 1%.']",['Ünvan: Asif Məhərrəmov küç.'],145 m2,4,7,16,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1178363-satilir-2-otaqli-75-m2-yeni-tikili-azadliq-prospekti-m.html,['155 000'],10.12.2024,"['Binəqədi rayon,Azadlığ metrosunun yaxınlığında ,Abay Kunabayv küçəsində 15 mərtəbəli binanın 3cü mərtəbəsində 75 kv podmayaq mənzil satılır.Mənzilin sənədi müqavilədir.Ətrafda ehtiyyac olacaq bütün iaşə obyektləri mövcuddur. Əlavə məlumat üçün əlaqə saxlayın. Real alıcıya endirim olunacaq. Xidmət haqqı 1%.']",['Ünvan: Abay Kunabayev'],75 m2,2,3,15,Təmirsiz,Müqavilə
https://emlak.az/1177663-satilir-3-otaqli-115-m2-yeni-tikili-28-may-m.html,['315 000'],10.12.2024,"['QAÇIRILMAZ FÜRSƏT!!28 may ve genclik metrosunun yaxinliginda deyerinden qat-qat asagi qiymete menzil satilirQaz,Su,işıq daimidir.3 otaq qanunidirİsti pol, kombi.  balkonu var.Ən bahalı və keyfiyyətli materiallarla təmir olunub.Əla infrastruktura malik binadır. Ətrafında məktəb,bağça, market,aptek və.s yerləşir.Şirkət haqqı 1%']",['Ünvan: Təbriz küç.'],115 m2,3,5,14,Əla təmirli,Yoxdur
https://emlak.az/1179180-satilir-3-otaqli-135-m2-yeni-tikili-heyder-eliyev-merkezi.html,['273 000'],10.12.2024,"['QAÇIRILMAZ FÜRSƏT!!Nərimanov  metrosunun cixişına yaxın məsafedə cox ucuz qiymətə padmayak  ev satılırŞəhərə panaramik menzereQaz,Su,işıq daimidir.3 otaq qanuniİki balkonu var.Əla infrastruktura malik binadır. Ətrafında məktəb,bağça, market,aptek və.s yerləşir.Şirkət haqqı 1%']",['Ünvan: Əliyar Əliyev küc'],135 m2,3,9,16,Təmirsiz,Müqavilə
https://emlak.az/1179833-satilir-3-otaqli-1007-m2-yeni-tikili-masazir.html,['137 000'],10.12.2024,['Mənzil'],['Ünvan: əliağa Vahid'],100.7 m2,3,13,15,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1162618-satilir-2-otaqli-50-m2-yeni-tikili-genclik-m.html,['179 000'],10.12.2024,['TECİLİ....!!!!KUPÇALI+İPOTEKAYA YARARLI...!!!!Qarabağ Kücəsinde Tehsil Nazirliyinə yaxın...!!28-May metrosuna piyada mesafedə..!!!Gençlik metrosuna piyada mesafedə...!!!!Yeni tikilmiş olan binanın 5-ci mərtəbəsində təmirli və əşyalı 1-otaqdan 2-ye düzəlmiş olan mənzil satışa təqdim olunur..!!Binanın geniş həyəti yeraltı qarajı səssiz sürətli liftləri və 7/24 mühafizəsi mövcudur..!!!Real alıclar ətaflı məlumat üçün zənglə əlaqə saxlaya bilər..!!!!!ŞİRKƏTİN XİDMƏT HAQQI 1% TƏŞKİL EDİR...!!!!!'],['Ünvan: Qarabağ küç.'],50 m2,2,5,17,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1177814-satilir-3-otaqli-145-m2-yeni-tikili-qara-qarayev-m.html,['329 000'],10.12.2024,"['Qara Qarayev Metrosunun yaxinliginda Bona Dea Live Hospital yaninda yeni tikili Orbita MTK●OTAQ: 3●SAHƏ: 145 kv. m.●MƏRTƏBƏ: 12/17●TƏMİR: Əla təmirli və əşyalı-Fərqli tərəflərə baxan 2 ədəd balkonu var-2 sanitar qovşaq var (vanna və duş kabin ilə)-2 ədəd kondisioner var-Binanın 4 Blokdan ibaretdi 3 Bloka kupca verilib ilin sonunadek kupca verilecek- Təmir zamanı ən keyfiyyətli materiallardan istifadə edilmişdir.-Yeraltı parking var-Gözəl panorama (qarşısında bina tikilmə ehtimalı yoxdur)- 7/24 mühafizə olunan həyət.- 3 ədəd lift var. Liftlər generatorlarla təchiz olunub.-Bütün mənzildə yer isti poldur.- İstilik sistemi kombidir-Binada qaz,su,işıq daimidir.Ofis Haqqi 1 %']",['Ünvan: Bəkir Çobanzadə küçəsi'],145 m2,3,12,17,Əla təmirli,Müqavilə
https://emlak.az/1179895-satilir-3-otaqli-130-m2-yeni-tikili-8-noyabr-m.html,['247 000'],10.12.2024,"['TƏCİLİ SATILIR!!!IPOTEKAYA YARARLI! Yasamal rayonu Ə. Salamzadə küçəsinde qanuni 3 otaqli olan menzil teklif edirem sizlere! Menzil Esyali satilir! Mətbəx və hər 3 otağın ayrılıqda geniş eyvana çıxışı var. Şəhərin mərkəzinə yaxın yerləşir, bütün infrastruktura (yaxınlıqda məktəb, bağça, market və nəqliyyat dayanacağı) asan çıxış imkanı var.Ofis xidmet haqqi 1%Ətraflı məlumata görə zəng vurunş.']",['Ünvan: Əbdülvahab Salamzadə küç.'],130 m2,3,6,17,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1179308-satilir-3-otaqli-140-m2-yeni-tikili-sah-ismayil-xetai-m.html,['365 000'],10.12.2024,"['TƏCİLİ SATILIR!!! Satılır 3 otaqlı yeni tikili 140 m², Şah İsmayıl Xətai metro stansiyasının yaxınlığında.TAM TƏMİRLİBakı Group MTK binasında üç otaqlı, ümumi 140 kvadrat metr sahəsi olan 15-ci mərtəbədə təmirli mənzil satılir.Yaxşı infrastruktur malikdir, ətrafda Bravo, Bazar store, məktəblər, poliklinika və uşaq bağçaları var. Ərazi mühafizə olunur, yeraltı və yerüstü parkinq mövcuddur, giriş və dayanacaqlarda kameralar quraşdırılıb. Həyətdə market, aptek və meyvə tərəvəz mağazası var. Mərtəbə genişdir dörd mənzil var.Pəncərələr Xəzər dənizinə və günəşli tərəfə baxır.Əla təmirlidi.Tam əşyalı satılır.Əşyasız qiymətdə endirim olunacaq.Çıxarış var,çıxarışda 128kv qeyd olunub.Ümumi 140kv.3 balkonu var,kuxnada,yataq otağda və uşaq otağinda.Pol parketdi.2 sanitar qovşağı var,İspaniya istehsalı olan materiaları istifadə olunub.İri mətbəxi var (30kv)Alan şəxs tərəfindən ofis haqqı 1% təşkil edir']",['Ünvan: Suleyman Vəzirov küç.'],140 m2,3,15,16,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1165510-satilir-3-otaqli-140-m2-yeni-tikili-28-may-m.html,['398 000'],10.12.2024,['TƏCİLİ...!!!Şəhərin mərkəzində 28-may metrosuna 28-Molla piyada məsafədə....!!!!Yeni tikilmiş olan binanın 6-cı mərtəbəsində Tam Təmirli və qismən Əşyalı Qanuni 3-otaq və 2-sanuzel mənzil satışa təqdim olunur...!!!Binanın geniş həyəti yeraltı qarajı səssiz sürətli liftləri və 7/24 mühafizəsi mövcudur..!!!Bina yeni tikili olduğu üçün binada qaz yaxın zamanda veriləcək....!!!!!!Binanın ətafında bütün növ içtimai iaşə obyektləri mövcudur...!!!!Real alıclar ətaflı məlumat üçün zənglə əlaqə saxalay bilər...!!!!ŞİRKƏTİN XİDMƏT HAQQI 1% TƏŞKİL EDİR....!!!!'],['Ünvan: Mirəli Qaşqay küç.'],140 m2,3,6,22,Əla təmirli,Müqavilə
https://emlak.az/1161147-satilir-3-otaqli-165-m2-yeni-tikili-28-may-m.html,['345 000'],10.12.2024,['TƏCİLİ.....!!!!!KUPÇALI+İPOTEKAYA YARARLI.....!!!!!!28-May metrosuna piyada məsafədə..!!!!Şərq bazarının yanı Qanuni 3-otaqlı mənzil satışa təqdim olunur...!!!! Mənzili 2-sanuzeli var geniş evdi umumi sahesi 165 kv dir...!!!!Binanın geniş həyəti yeraltı qarajı səssiz sürətli liftləri və 7/24 mühafizəsi mövcudur..!!!Mənzilin sənəti KUPÇA...!!!! Binanda QAZ+SU+İŞİQ daimdir....!!!!!!Real alıclar ətaflı məlumat üçün zənglə əlaqə saxlaya bilər...!!!!!ŞİRKƏTİN XİDMƏT HAQQI 1% TƏŞKİL EDİR.....!!!!!!'],['Ünvan: Xətai pr.'],165 m2,3,9,18,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1179173-satilir-3-otaqli-1193-m2-yeni-tikili-hezi-aslanov-m.html,['295 000'],10.12.2024,"['*TƏCİLİ SATILIR*SƏNƏD KUPÇA (ÇIXARIŞ)*İPOTEKAYA YARARLI*TAM TƏMİRLİ*QANUNİ 3 OTAQ*XƏTAİ r-nu 8 noyabr pr.Həzi Aslanov m/st-na piyada məsafədə, Nargilə dairəsinə yaxın Skyland Baku kompleksdə qanuni 3 otaqlı, ideal təmirli mənzil satışa çıxarıldı.Mənzildə qaz, su, işıq daimidir, istilik sistemi kombidir.Mənzildə mətbəx və dəhliz mebelləri quraşdırılıb, yaşayış olmayıb.Kompleks infrastruktur cəhətdən ideal ərazidə yerləşir, binanın altında Araz market, Azza, trenajor zalı, ətrafda bütün iaşə obyektləri mövcuddur.Binada kupça var.Binanın yeraltı və yerüstü parkingi, 24 saat kamera nəzarəti, mühafizə xidməti var.Ətraflı məlumat üçün əlaqə saxlayın.OFİS HAQQI 1%.']",['Ünvan: 8 noyabr pr.'],119.3 m2,3,17,21,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1179549-satilir-4-otaqli-149-m2-yeni-tikili-nesimi-r.html,['476 800'],10.12.2024,"['TƏCİLİ SATILIR**KUPÇA ÇIXARIŞ (SƏNƏD)**İPOTEKAYA YARARLI****GRAND PLAZA***Nəsimi r-nu Süleyman Rüstəm küçəsində 17 mərtəbəli binanın 16-cı mərtəbəsində yerləşən təmirsiz mənzil satışa çıxdı-Rahat şəkildə alıb təmirə başlamaq olar.-Geniş həyət- 3 mərtəbəli yer altı parking mövcuddurBİnanın yaxınlığında: Koala park, Zorge park, Koroğlu park, Dədə Qorqud parkı, Amerika səfirliyi, Nəsimi bazarı, Dostluq kinoteatrı-Şəhərə yaxın məsafə*ƏTRAFLI MƏLUMAT ÜÇÜN ƏLAQƏ SAXLAYA BİLƏRSİZ**ДЛЯ СРОЧНОЙ ПРОДАЖИ**ЭКСТРАКТ КУПЕ (ДОКУМЕНТ)**ИПОТЕКА РАЗРЕШЕНА****ГРАНД ПЛАЗА***Продается квартира без ремонта, расположенная на 16 этаже 17-этажного дома по улице Сулеймана Рустама Насиминского района.- Вы легко можете купить и заняться ремонтом.- Широкий двор- Имеется 3-х этажный подземный паркинг.Рядом со зданием: парк Коала, парк Зорге, парк Кероглу, парк Деде Горгуд, американское посольство, рынок Насими, кинотеатр Дружба.-Близкое расстояние до города*ПОЖАЛУЙСТА, СВЯЖИТЕСЬ ДЛЯ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ']",['Ünvan: Süleymsn Rüstəm küçəsi'],149 m2,4,16,17,Təmirsiz,Çıxarış (Kupça)
https://emlak.az/1178359-satilir-2-otaqli-54-m2-yeni-tikili-28-may-m.html,['165 000'],10.12.2024,"['*DİQQƏT!!!*Təcili Satılır !!!!*2 OTAQ!!!*ƏLA TƏMİRLİ!!!28 May metrosuna yaxın, Qarabag küəsinde, yeni təmirden çixmiş əla temirli, qismen eşyali, 2 otaqlıç sahəsi 54kvm. olan gozel menzili sizlere teqdim edirik!!!Isti pol və kombi (kollektor) sistemi var!!!Binaın yaxinliginda 177 nömreli mekteb, uşaq baxcası ve Araz market var!!!Sened muqaviledi!!!(Yaxin zamanda kupça verilecek)Əlavə məlumatlar uçun bizimle elaqe saxlaya bilersiz!!!Xidmet haqqqi 1%!!!']",['Ünvan: Qarabag kuçəsi'],54 m2,2,13,13,Əla təmirli,Müqavilə
https://emlak.az/1178748-satilir-3-otaqli-1105-m2-yeni-tikili-elmler-akademiyasi-m.html,['430 000'],10.12.2024,"['ŞƏHƏRİMİZİN ƏN MÖHTƏŞƏM LAYİHƏLƏRİNDƏN SAYILAN ""RENESSANS PALACE""-dən SİZƏ MÖHTƏŞƏM MƏNZİL TƏQDİM EDİRƏM!!!DİQQƏT ÇOOOOX TƏCİLİ SATILIR !!!!ELMLER AKADEMİYASI METROSUNA PİYADA MƏSAFƏDƏ 3 (2 düzəlmə) QANUNİ OTAQLI BAHALI DİZAYNER TƏRƏFİNDƏ LAYİHƏLƏNDİRİLMİŞ TƏMİR EDİLMİŞ BİR ZADƏGAN MƏNZİLİ TƏQDİM EDİRƏM SİZLƏRƏ!!!MƏNZİLİN BÜTÜN SƏNƏDLƏRİ QAYDASINDADIR İPOTEKAYA YARARLIDIR!!!Mənzil bahalı təmir edilmiş və bütün əşyaları bilinən şirkətlərin mebelləri, texnikası və aksesuarları ilə təhciz edilmişdir!!!Binanın 24/7 mühafizəsi Yer altı parkingi və lazımi olan bütün Şəraiti vardır.Mənzil az yaşanmış mənzildir!!!Əlavə Məlumat görəƏlaqə saxlaya bilərsiniz !!!Qoyuulmuş qiymət bazarlığa başlanğıc qiymətdir!!!ВНИМАНИЕ СРОЧНО ПРОДАЕТСЯ!!!!ПРЕДСТАВЛЯЮ ВАМ ДОРОГУЮ КВАРТИРУ С ДИЗАЙНЕРСКИМ РЕМОНТОМ В ПЕШОМ РАССТОЯНИИ ОТ МЕТРО АКАДЕМИЯ НАУК. ПЕРЕДЕЛКА С 3-2 КОМНАТ !!!ВСЕ ДОКУМЕНТЫ НА КВАРТИРУ В СООТВЕТСТВИИ И ПРИГОДНЫ ДЛЯ ИПОТЕКИ!!!В квартире сделан дорогой ремонт и обставлена \u200b\u200bмебелью, техникой и аксессуарами известных фирм!!!В здании круглосуточная охрана, подземный паркинг и все необходимые удобства.Квартира мало обжитая!!!Для получения дополнительной информацииУказанная цена является стартовой ценой для торга!!!']",['Ünvan: Zahid Xəlilov'],110.5 m2,3,17,17,Əla təmirli,Çıxarış (Kupça)
